id	Drillhole	Texture	Sample 	Location	Analysis 	Depth	Mg24	Al27	Si29	P31	Ca43	Sc45	Ti49	V51	Cr53	Mn55	Co59	Ni60	Cu65	Zn66	Ga69	As75	Sr88	Y89	Zr90	Nb93	Mo95	Sn118	Sb121	Ba137	La139	Ce140	Pr141	Nd146	Sm147	Eu153	Gd157	Tb159	Dy163	Ho165	Er166	Tm169	Yb172	Lu175	Hf178	Ta181	W182	Pb206	Pb207	Pb208	Th232	U238	sumREY
9	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hm-1	786.00	4348.72	1356.00	37486.14	24.10	6467.75	2.67	19.52	11.54	0.40	3602.97	10.05	2.25	4.96	31.79	3.40	NA	5.79	0.72	15.61	4.97	149.74	2.40	7.94	29.68	0.49	0.92	0.10	0.24	0.08	0.05	0.15	0.06	0.13	0.03	0.09	0.02	0.27	0.03	0.48	0.01	0.90	8.71	4.23	3.85	0.49	1.42	3.38
10	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hm-2	786.00	2015.56	719.72	10948.63	45.00	2205.50	2.58	11.26	9.09	0.29	4215.56	19.85	1.79	0.86	44.84	2.29	NA	2.30	0.83	5.03	9.15	140.34	2.50	6.08	11.74	0.36	0.88	0.09	0.30	0.07	0.03	0.17	0.02	0.19	0.07	0.14	0.02	0.30	0.05	0.26	0.04	1.26	15.95	4.37	4.12	0.39	2.06	3.51
11	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hm-3	786.00	889.82	386.22	13842.30	1111.11	3741.61	4.46	6.64	2.80	0.27	185.64	1.12	0.62	0.96	4.01	3.29	NA	5.17	9.54	2.12	26.22	26.04	1.39	4.16	6.68	14.73	32.07	4.52	16.66	2.80	0.42	2.50	0.36	1.46	0.26	0.65	0.08	0.64	0.09	0.10	0.17	0.37	3.17	1.99	1.95	0.56	0.67	86.80
12	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hm-4	786.00	2010.99	776.28	21445.71	23.88	3437.46	3.92	9.69	2.53	0.48	26.85	0.46	1.24	625.00	7.65	3.38	NA	3.61	0.29	10.53	9.77	21.07	1.96	3.53	23.41	0.19	0.40	0.05	0.15	0.09	0.04	0.08	0.01	0.07	0.02	0.01	0.01	0.20	0.03	0.47	0.04	3.00	2.95	2.33	2.10	0.20	0.60	1.62
13	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-1	786.00	517.27	301.72	1023.54	40.93	187.59	4.07	1.55	3.05	0.28	115.57	1.17	1.94	1.08	1.95	4.96	NA	0.77	0.10	0.22	0.08	28.28	0.10	9.01	1.18	0.05	0.19	0.01	0.07	0.03	0.02	0.02	0.01	0.04	0.01	0.07	0.12	0.12	0.03	0.01	0.00	0.14	0.88	1.10	0.71	0.28	0.43	0.87
14	RD1247	Hm from Mt/Hm conversions	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-10	786.00	14282.33	5047.60	194375.34	36.23	39582.23	2.74	118.04	102.03	3.17	673.11	2.95	0.59	6.38	23.00	3.65	NA	21.69	6.93	67.35	676.58	126.74	84.49	11.56	116.20	1.61	2.92	0.40	1.72	0.31	0.15	0.34	0.10	0.69	0.07	0.14	0.05	0.47	0.05	1.95	2.24	146.01	89.32	23.53	20.62	0.83	11.14	15.95
15	RD1247	Hm from Mt/Hm conversions	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-12	786.00	135.42	1365.47	12942.40	42.16	448.17	0.08	78.19	77.64	0.36	71.85	94.45	13.65	18.24	5.69	2.23	NA	3.79	8.30	1.51	496.49	401.25	45.13	53.84	8.79	4.34	7.36	0.68	2.13	0.51	0.29	0.82	0.19	2.24	0.35	0.82	0.18	1.05	0.13	0.07	1.87	137.40	525.06	106.96	90.47	16.56	74.84	29.38
16	RD1247	Hm from Mt/Hm conversions	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-13	786.00	1127.60	1834.41	23994.49	15.25	2742.19	0.82	86.44	135.94	0.36	114.09	5.28	0.13	4.85	6.64	1.56	NA	4.74	1.25	8.16	1055.69	189.93	67.40	44.07	20.02	0.95	2.51	0.26	1.13	0.17	0.11	0.38	0.07	0.49	0.08	0.26	0.05	0.17	0.03	0.26	2.93	271.12	139.86	29.06	22.52	2.68	24.13	7.92
17	RD1247	Hm from Mt/Hm conversions	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-14	786.00	2283.86	1967.41	28933.07	33.30	4121.64	0.55	101.08	105.20	0.47	295.90	13.73	1.91	9.26	10.08	1.78	NA	5.43	1.39	12.01	776.39	193.03	65.28	28.08	24.71	1.54	3.07	0.34	0.92	0.17	0.10	0.16	0.08	0.32	0.04	0.14	0.03	0.20	0.04	0.49	2.66	174.20	127.01	29.99	24.42	2.35	26.69	8.53
18	RD1247	Hm from Mt/Hm conversions	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-15	786.00	1792.07	1765.23	24241.64	18.12	3315.09	0.40	73.28	96.89	1.41	95.76	65.10	1.72	15.84	5.89	1.86	NA	5.71	1.69	9.68	770.19	277.26	70.39	43.72	23.96	1.85	4.06	0.39	1.35	0.46	0.09	0.43	0.07	0.69	0.07	0.31	0.05	0.26	0.04	0.38	2.49	198.47	288.08	63.18	52.95	3.02	31.70	11.80
19	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-2	786.00	280.14	203.71	3186.77	29.92	1315.73	1.30	2.81	0.36	0.62	5.69	0.51	0.73	28.14	1.37	2.46	NA	0.84	0.30	1.78	0.03	26.49	0.05	11.42	2.39	0.05	0.18	0.03	0.07	0.01	0.01	0.01	0.06	0.07	0.02	0.08	0.05	0.23	0.14	0.05	0.01	0.17	0.43	0.86	1.21	0.04	0.41	1.29
20	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-3	786.00	103.76	105.90	2251.56	23.70	219.96	4.38	4.97	0.69	0.36	6.06	0.57	2.71	3.99	0.69	3.79	NA	0.06	2.07	0.38	0.00	18.80	0.09	8.44	0.87	0.07	0.12	0.01	0.02	0.00	0.00	0.02	0.01	0.05	0.01	0.04	0.02	0.14	0.02	0.01	0.00	0.01	0.61	0.69	0.77	0.01	0.25	2.61
21	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-4	786.00	458.97	203.75	7549.63	76.97	992.24	7.91	3.73	0.77	0.73	12.62	0.82	1.16	0.84	3.06	1.28	NA	1.71	0.70	1.80	0.59	129.85	0.23	7.21	33.18	1.55	4.82	0.06	2.92	0.10	0.03	0.14	0.02	0.21	0.04	0.12	0.03	0.43	0.08	0.07	0.00	0.10	13.41	5.51	5.91	0.09	0.67	11.26
22	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-5	786.00	913.30	255.90	14250.40	24.77	1279.51	7.22	5.49	1.25	0.19	7.06	1.41	2.66	3.06	3.72	1.89	NA	0.94	0.13	3.38	0.10	67.91	0.19	2.03	8.86	0.12	0.29	0.04	0.08	0.03	0.01	0.01	0.01	0.02	0.01	0.07	0.01	0.10	0.02	0.13	0.01	0.04	2.57	2.25	1.93	0.04	0.26	0.91
23	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-6	786.00	1242.83	270.76	10866.72	5.82	3410.44	3.35	6.84	0.58	0.42	200.59	0.24	2.05	0.79	1.87	2.44	NA	1.05	0.38	0.55	0.03	107.20	0.17	7.58	4.86	0.05	0.14	0.15	0.50	0.35	0.16	0.33	0.05	0.12	0.04	0.19	0.02	0.11	0.05	0.13	0.01	0.04	0.48	0.13	1.10	0.03	0.19	2.63
24	RD1247	Clean Hm	6167.00	Deposit edge SE, Presence of BIF?	6167Hmvein-7	786.00	874.76	322.48	13491.95	22.13	291.68	4.17	6.73	1.13	1.27	11.77	0.48	1.32	2.07	2.50	2.42	NA	1.08	0.19	3.37	1.56	39.94	0.16	4.42	7.41	0.11	0.28	0.03	0.04	0.00	0.02	0.03	0.00	0.03	0.00	0.07	0.03	0.18	0.04	0.10	0.02	0.28	2.15	1.64	1.46	0.17	0.28	1.05
